ID,Recency,Frequency,Monetary,Cluster
761,270,1,325000,0
762,317,2,870000,0
763,359,1,270000,0
764,228,2,343000,0
765,142,1,179000,1
766,290,1,195000,0
767,269,1,329000,0
768,306,1,726000,0
769,287,1,426000,0
770,53,2,406000,1
771,148,2,465000,1
772,352,1,134000,0
773,243,1,350000,0
774,257,1,58000,0
775,74,1,163000,1
776,318,1,657000,0
777,286,1,200000,0
778,151,1,404000,1
779,269,1,245000,0
780,214,1,121000,0
781,62,3,637000,1
782,6,1,158000,1
783,74,2,562000,1
784,285,1,98000,0
785,97,1,49000,1
786,301,1,287000,0
787,78,1,135000,1
788,79,1,183000,1
789,356,1,125000,0
790,177,1,246000,1
791,110,1,261000,1
792,351,2,185000,0
793,314,2,702000,0
794,313,1,250000,0
795,237,3,924000,0
796,290,2,840000,0
797,220,2,866000,0
798,271,1,187000,0
799,214,1,90000,0
800,374,1,85000,0
801,121,1,249000,1
802,215,1,144000,0
803,272,1,251000,0
804,199,1,410000,0
805,315,1,180000,0
806,124,1,48000,1
807,190,1,102000,0
808,253,1,416000,0
809,302,1,575000,0
810,148,1,215000,1
811,165,1,118000,1
812,258,1,98000,0
813,181,1,545000,1
814,278,2,387000,0
815,73,1,259000,1
816,195,1,157000,0
817,283,1,158000,0
818,373,1,103000,0
819,256,1,270000,0
820,192,1,158000,0
821,267,2,410000,0
822,283,1,134000,0
823,44,1,136000,1
824,187,1,127000,1
825,37,1,75000,1
826,198,1,282000,0
827,387,1,177000,0
828,124,4,1436000,1
829,215,1,160000,0
830,64,1,438000,1
831,3,1,194000,1
832,57,1,98000,1
833,130,1,56000,1
834,151,1,459000,1
835,166,1,448000,1
836,179,2,862000,1
837,81,1,341000,1
838,265,1,165000,0
839,339,1,295000,0
840,194,1,410000,0
841,290,1,438000,0
842,313,1,838000,0
843,376,1,531000,0
844,366,1,270000,0
845,305,2,245000,0
846,69,5,1154000,1
847,132,1,240000,1
848,302,1,142000,0
849,290,2,347000,0
850,373,1,149000,0
851,79,1,233000,1
852,221,3,1007000,0
853,264,1,348000,0
854,253,1,80000,0
855,235,2,253000,0
856,173,1,178000,1
857,357,2,627000,0
858,193,3,1095000,0
859,286,2,118000,0
860,255,1,225000,0
861,368,1,219000,0
862,346,1,165000,0
863,118,1,410000,1
864,198,1,290000,0
865,198,1,611000,0
866,334,1,168000,0
867,191,1,202000,0
868,199,1,212000,0
869,288,1,309000,0
870,230,1,378000,0
871,129,2,1989000,1
872,227,1,260000,0
873,197,1,450000,0
874,206,2,695000,0
875,159,2,251000,1
876,311,1,263000,0
877,338,2,1419000,0
878,115,2,1107000,1
879,373,2,180000,0
880,338,1,281000,0
881,234,1,375000,0
882,156,1,98000,1
883,232,1,410000,0
884,250,1,224000,0
885,93,1,134000,1
886,238,1,200000,0
887,166,5,1630000,1
888,271,1,503000,0
889,233,1,49000,0
890,165,2,306000,1
891,275,1,403000,0
892,160,1,385000,1
893,45,4,1169000,1
894,247,1,604000,0
895,261,1,450000,0
896,387,1,245000,0
897,59,1,150000,1
898,286,1,389000,0
899,55,1,85000,1
900,287,1,218000,0
901,228,1,179000,0
902,228,1,90000,0
903,47,1,410000,1
904,162,1,172000,1
905,267,1,98000,0
906,300,1,279000,0
907,379,1,515000,0
908,191,1,135000,0
909,100,1,439000,1
910,157,1,35000,1
911,256,1,74000,0
912,172,1,85000,1
913,143,1,375000,1
914,74,1,1740000,1
915,275,1,919000,0
916,177,1,80000,1
917,131,1,227000,1
918,307,1,185000,0
919,218,1,298000,0
920,107,1,311000,1
921,205,1,242000,0
922,380,1,414000,0
923,81,4,1163000,1
924,301,1,409000,0
925,209,1,70000,0
